INFO  - 2013-12-04 19:47:38.421; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2013-12-04 19:47:38.422; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2013-12-04 19:47:38.422; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2013-12-04 19:47:38.423; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2013-12-04 19:47:38.423; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2013-12-04 19:47:38.423; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2013-12-04 19:47:38.425; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2013-12-04 19:47:38.427; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2013-12-04 19:47:38.428; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2013-12-04 19:47:38.436; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2013-12-04 19:47:38.436; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-12-04 19:47:38.436; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2013-12-04 19:47:38.436; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-12-04 19:47:38.436; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2013-12-04 19:47:38.437; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: org.apache.solr.handler.js.JavaScriptRequestHandler
INFO  - 2013-12-04 19:47:38.437; org.apache.solr.core.RequestHandlers; created /js: org.apache.solr.handler.js.JavaScriptRequestHandler
INFO  - 2013-12-04 19:47:38.437; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-12-04 19:47:38.437; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2013-12-04 19:47:38.437; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-12-04 19:47:38.437; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2013-12-04 19:47:38.450; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-12-04 19:47:38.452; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-12-04 19:47:38.453; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-12-04 19:47:38.467; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2013-12-04 19:47:38.467; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2013-12-04 19:47:38.474; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@/home/home/Downloads/solr-4.6.0/example/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@1aa632be; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2013-12-04 19:47:38.474; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2013-12-04 19:47:38.482; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@aa0ebc2 main
INFO  - 2013-12-04 19:47:38.487; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2013-12-04 19:47:38.493; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2013-12-04 19:47:38.498; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2013-12-04 19:47:38.499; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /home/home/Downloads/solr-4.6.0/example/solr/collection1/conf/elevate.xml
INFO  - 2013-12-04 19:47:38.541; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2013-12-04 19:47:38.541; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@aa0ebc2 main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2013-12-04 19:47:38.542; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2013-12-04 19:47:38.546; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/home/home/Downloads/solr-4.6.0/example
INFO  - 2013-12-04 19:47:38.546; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2013-12-04 19:47:38.591; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=46 
INFO  - 2013-12-04 19:47:38.591; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2013-12-04 19:47:38.592; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2013-12-04 19:47:38.592; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2013-12-04 19:47:38.592; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@aa0ebc2 main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2013-12-04 19:47:38.594; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2013-12-04 19:47:59.744; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1386204479737&wt=json} status=0 QTime=2 
INFO  - 2013-12-04 19:47:59.818; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/system params={_=1386204479765&wt=json} status=0 QTime=43 
INFO  - 2013-12-04 19:49:05.174; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
INFO  - 2013-12-04 19:49:05.175; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/home/home/Downloads/solr-4.6.0/example/solr-webapp/webapp/},/home/home/Downloads/solr-4.6.0/example/webapps/solr.war
INFO  - 2013-12-04 19:49:06.178; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=1035896593
INFO  - 2013-12-04 19:49:06.179; org.apache.solr.core.SolrCore; [collection1]  CLOSING SolrCore org.apache.solr.core.SolrCore@10f1f34a
INFO  - 2013-12-04 19:49:06.180; org.apache.solr.update.DirectUpdateHandler2; closing DirectUpdateHandler2{commits=0,autocommit maxTime=15000ms,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0}
INFO  - 2013-12-04 19:49:06.181; org.apache.solr.update.SolrCoreState; Closing SolrCoreState
INFO  - 2013-12-04 19:49:06.182; org.apache.solr.update.DefaultSolrCoreState; SolrCoreState ref count has reached 0 - closing IndexWriter
INFO  - 2013-12-04 19:49:06.182; org.apache.solr.update.DefaultSolrCoreState; closing IndexWriter with IndexWriterCloser
INFO  - 2013-12-04 19:49:06.186; org.apache.solr.core.SolrCore; [collection1] Closing main searcher on request.
INFO  - 2013-12-04 19:49:06.188; org.apache.solr.core.CachingDirectoryFactory; Closing NRTCachingDirectoryFactory - 2 directories currently being tracked
INFO  - 2013-12-04 19:49:06.190; org.apache.solr.core.CachingDirectoryFactory; looking to close /home/home/Downloads/solr-4.6.0/example/solr/collection1/data [CachedDir<<refCount=0;path=/home/home/Downloads/solr-4.6.0/example/solr/collection1/data;done=false>>]
INFO  - 2013-12-04 19:49:06.190; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /home/home/Downloads/solr-4.6.0/example/solr/collection1/data
INFO  - 2013-12-04 19:49:06.191; org.apache.solr.core.CachingDirectoryFactory; looking to close /home/home/Downloads/solr-4.6.0/example/solr/collection1/data/index [CachedDir<<refCount=0;path=/home/home/Downloads/solr-4.6.0/example/solr/collection1/data/index;done=false>>]
INFO  - 2013-12-04 19:49:06.192; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /home/home/Downloads/solr-4.6.0/example/solr/collection1/data/index
INFO  - 2013-12-04 19:49:06.197; org.eclipse.jetty.server.handler.ContextHandler; stopped o.e.j.w.WebAppContext{/solr,file:/home/home/Downloads/solr-4.6.0/example/solr-webapp/webapp/},/home/home/Downloads/solr-4.6.0/example/webapps/solr.war
INFO  - 2013-12-04 19:52:24.278; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2013-12-04 19:52:24.302; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /home/home/Downloads/solr-4.6.0/example/contexts at interval 0
INFO  - 2013-12-04 19:52:24.306; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /home/home/Downloads/solr-4.6.0/example/contexts/solr-jetty-context.xml
INFO  - 2013-12-04 19:52:25.423; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2013-12-04 19:52:25.461; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
